src_id,src_fragment,src_label,relation,dst_id,dst_fragment,dst_label,confidence,evidence,note
dex:Lcom/snake/App;,dex,Lcom/snake/App;,static_initializer,dex:Lcom/snake/App;-><clinit>()V,dex,Lcom/snake/App;-><clinit>()V,proven,class_data_item lists <clinit>()V with ACC_STATIC,
dex:Lcom/snake/App;-><clinit>()V,dex,Lcom/snake/App;-><clinit>()V,calls_loader,dex:loader@0x2b6c2e,dex,loadLibrary('engine'),proven,"invoke-static Ljava/lang/System;->loadLibrary(Ljava/lang/String;)V at classes.dex+0x2b6c2e, inside Lcom/snake/App;-><clinit>()V",
dex:Lcom/snake/App;,dex,Lcom/snake/App;,owns_method,dex:Lcom/snake/App;-><clinit>()V,dex,Lcom/snake/App;-><clinit>()V,proven,class_data_item of that class_def lists the method,
dex:loader@0x2b6c2e,dex,loadLibrary('engine'),loads_library,repo:binaries/libengine.so,repo,binaries/libengine.so,proven,"literal name 'engine' resolved from fill-array-data+String([B); System.loadLibrary maps it to libengine.so (fill-array-data instruction at file 0x2b6c22 points to the payload at 0x2b6c38 (ident=0x0300, element_width=1, size=6); the 6 bytes at 0x2b6c40 are 656e67696e65 = 'engine')",
dex:Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V,dex,Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V,calls_loader,dex:loader@0x2bafda,dex,loadLibrary('flutter'),proven,"invoke-static Ljava/lang/System;->loadLibrary(Ljava/lang/String;)V at classes.dex+0x2bafda, inside Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V",
dex:Lio/flutter/embedding/engine/FlutterJNI;,dex,Lio/flutter/embedding/engine/FlutterJNI;,owns_method,dex:Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V,dex,Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V,proven,class_data_item of that class_def lists the method,
dex:loader@0x2bafda,dex,loadLibrary('flutter'),loads_library,repo:flutter_libs/libflutter.so,repo,flutter_libs/libflutter.so,proven,"literal name 'flutter' resolved from const-string; System.loadLibrary maps it to libflutter.so (const-string ""flutter"" at file 0x2bafd6 in Lio/flutter/embedding/engine/FlutterJNI;->loadLibrary()V)",
dex:Lcom/snake/helper/Native;->ac(Ljava/lang/Object;Ljava/lang/Object;)V,dex,Lcom/snake/helper/Native;->ac(Ljava/lang/Object;Ljava/lang/Object;)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->aior(Ljava/lang/String;Ljava/lang/String;)V,dex,Lcom/snake/helper/Native;->aior(Ljava/lang/String;Ljava/lang/String;)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->awl(Ljava/lang/String;)V,dex,Lcom/snake/helper/Native;->awl(Ljava/lang/String;)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->chl([B)Z,dex,Lcom/snake/helper/Native;->chl([B)Z,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->djp(I)[B,dex,Lcom/snake/helper/Native;->djp(I)[B,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->eio()V,dex,Lcom/snake/helper/Native;->eio()V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->i(I)V,dex,Lcom/snake/helper/Native;->i(I)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->ic(Landroid/content/Context;)V,dex,Lcom/snake/helper/Native;->ic(Landroid/content/Context;)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->ilil(I)Ljava/lang/String;,dex,Lcom/snake/helper/Native;->ilil(I)Ljava/lang/String;,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->pjowqpxe(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V,dex,Lcom/snake/helper/Native;->pjowqpxe(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;->update(Ljava/lang/Object;Ljava/lang/reflect/Method;)V,dex,Lcom/snake/helper/Native;->update(Ljava/lang/Object;Ljava/lang/reflect/Method;)V,declared_in,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,requires_dynamic_registration,so:libengine.so,libengine,libengine.so,proven,"11 ACC_NATIVE declarations, but libengine.so exports 0 Java_* symbols — JNI resolution by name is impossible, so every one of them must arrive through RegisterNatives",
dex:Lcom/snake/helper/flagger;->na()V,dex,Lcom/snake/helper/flagger;->na()V,declared_in,dex:Lcom/snake/helper/flagger;,dex,Lcom/snake/helper/flagger;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/flagger;->nb()V,dex,Lcom/snake/helper/flagger;->nb()V,declared_in,dex:Lcom/snake/helper/flagger;,dex,Lcom/snake/helper/flagger;,proven,encoded_method access=0x109 (ACC_NATIVE set),
dex:Lcom/snake/helper/flagger;,dex,Lcom/snake/helper/flagger;,requires_dynamic_registration,so:libengine.so,libengine,libengine.so,proven,"2 ACC_NATIVE declarations, but libengine.so exports 0 Java_* symbols — JNI resolution by name is impossible, so every one of them must arrive through RegisterNatives",
so:libengine.so#RegisterNatives@0xb0140,libengine,RegisterNatives@0xb0140,called_via_env_slot_215,so:libengine.so,libengine,libengine.so,proven,"ldr from [JNIEnv+0x6b8] then blr; 0xb0130: w3, #1  (arg3 = nMethods, set before the blr at 0xb0144); table: 0xb0124: x2, sp, #0x38 — the JNINativeMethod[] is assembled on the stack, so name/sig/fnPtr are runtime values; the stores into that frame below are what can still be recovered statically",
so:libengine.so#RegisterNatives@0xb40a8,libengine,RegisterNatives@0xb40a8,called_via_env_slot_215,so:libengine.so,libengine,libengine.so,proven,"ldr from [JNIEnv+0x6b8] then blr; 0xb40ac: w3, #2  (arg3 = nMethods, set before the blr at 0xb40b4); table: 0xb409c: x2, sp, #0x20 — the JNINativeMethod[] is assembled on the stack, so name/sig/fnPtr are runtime values; the stores into that frame below are what can still be recovered statically",
so:libengine.so#RegisterNatives@0xb40a8,libengine,RegisterNatives@0xb40a8,registers_fnptr_in,so:libengine.so#.mytext,libengine,libengine.so:.mytext,proven,"sp+0x48 (fnPtr of entry[1]) = 0x81eeb0, stored at 0xb40b0; section is executable=True",
so:libengine.so#RegisterNatives@0xf3a08,libengine,RegisterNatives@0xf3a08,called_via_env_slot_215,so:libengine.so,libengine,libengine.so,proven,"ldr from [JNIEnv+0x6b8] then blr; 0xf3a04: w3, #0xa  (arg3 = nMethods, set before the blr at 0xf3a0c); table: 0xf39fc: x2, x2, #0xee8 — absolute table at 0x828ee8 in .bss",
so:libengine.so#RegisterNatives@0xb0140,libengine,RegisterNatives@0xb0140,registers_natives_of,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,probable,"No FindClass inside the decoded window, so no class name is materialised here — the class handle is fetched elsewhere (a cached global reference or an outer frame). After the FindClass site is accounted for, exactly 1 declaration remains and it belongs to `Lcom/snake/helper/Native;`",inferred by elimination: the declarations left after the FindClass site belong to this class
so:libengine.so#RegisterNatives@0xb0140,libengine,RegisterNatives@0xb0140,registers_method,dex:Lcom/snake/helper/Native;->pjowqpxe(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V,dex,Lcom/snake/helper/Native;->pjowqpxe(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V,probable,"nMethods=1, decode-loop bounds=[8]; each decode-loop bound matches exactly one method name of the assigned class",length-based inference — the name bytes are decrypted at run time
so:libengine.so#RegisterNatives@0xb40a8,libengine,RegisterNatives@0xb40a8,registers_natives_of,dex:Lcom/snake/helper/flagger;,dex,Lcom/snake/helper/flagger;,probable,"No FindClass inside the decoded window, so no class name is materialised here — the class handle is fetched elsewhere (a cached global reference or an outer frame). After the FindClass site is accounted for, exactly 2 declarations remain and they all belong to `Lcom/snake/helper/flagger;`",inferred by elimination: the declarations left after the FindClass site belong to this class
so:libengine.so#RegisterNatives@0xb40a8,libengine,RegisterNatives@0xb40a8,registers_method,dex:Lcom/snake/helper/flagger;->na()V,dex,Lcom/snake/helper/flagger;->na()V,probable,"nMethods=2, decode-loop bounds=[2, 3]; nMethods equals the class's whole declaration list",length-based inference — the name bytes are decrypted at run time
so:libengine.so#RegisterNatives@0xb40a8,libengine,RegisterNatives@0xb40a8,registers_method,dex:Lcom/snake/helper/flagger;->nb()V,dex,Lcom/snake/helper/flagger;->nb()V,probable,"nMethods=2, decode-loop bounds=[2, 3]; nMethods equals the class's whole declaration list",length-based inference — the name bytes are decrypted at run time
so:libengine.so#RegisterNatives@0xf3a08,libengine,RegisterNatives@0xf3a08,registers_natives_of,dex:Lcom/snake/helper/Native;,dex,Lcom/snake/helper/Native;,strong,"FindClass at `0xf39e4`; the name is built by a 23-iteration byte-decode loop, so the JNI class name is 23 characters (other candidates: com/snake/helper/flagger=24)",unique JNI-name length match
so:libengine.so,libengine,libengine.so,registers_exactly_the_declared_natives,apk:classes.dex,apk,classes.dex,strong,13 methods registered across 3 sites = 13 ACC_NATIVE declarations in 2 custom classes (11 Lcom/snake/helper/Native; + 2 Lcom/snake/helper/flagger;),
so:libengine.so#JNI_OnLoad,libengine,libengine.so:JNI_OnLoad,maps_rwx_anonymous_memory,so:libengine.so,libengine,libengine.so,proven,"2 raw `svc #0` mmap calls with PROT_READ|WRITE|EXEC and MAP_PRIVATE|MAP_ANONYMOUS at 0xf4018, 0xf411c — bypasses the imported mmap@PLT",
so:libengine.so#JNI_OnLoad,libengine,libengine.so:JNI_OnLoad,synthesises_branch_instructions,so:libengine.so,libengine,libengine.so,proven,"the AArch64 `B` opcode 0x14000000 is materialised as an immediate at 0xf4040, 0xf4090, then stored into mapped memory (self-modifying loader stub)",
so:libengine.so#JNI_OnLoad,libengine,libengine.so:JNI_OnLoad,jumps_into_generated_code,so:libengine.so,libengine,libengine.so,proven,"2 indirect branches in the first 420 decoded instructions, including a blr into the freshly mapped page",
so:libengine.so#.mytext,libengine,libengine.so:.mytext,nonstandard_section_of,so:libengine.so,libengine,libengine.so,proven,.mytext addr=0x81eeac size=244 exec=True write=False — no toolchain emits this name,
so:libengine.so#.init_array,libengine,libengine.so:.init_array,runs_staged_constructors,so:libengine.so,libengine,libengine.so,proven,"44 pointers, all supplied by R_AARCH64_RELATIVE relocations (the on-disk slots are zero); 37 of them share one identical 16-byte prologue e80f19fcfd7b01a9fd430091fc6f02a9 and are spaced by ['0x2d2ec', '0x2d2dc', '0x2d2cc', '-0x322be4', '0x34fed0'] over 0x62d604 bytes of .text",
so:libengine.so#import:_ZN16xcrash_oneheader6detail5pipe2EPii,libengine,_ZN16xcrash_oneheader6detail5pipe2EPii,capability_of,so:libengine.so,libengine,libengine.so,proven,xCrash (one-header build) native crash handler,
so:libengine.so#import:__system_property_get,libengine,__system_property_get,capability_of,so:libengine.so,libengine,libengine.so,proven,reads Android system properties (device/ROM fingerprinting),
so:libengine.so#import:dl_iterate_phdr,libengine,dl_iterate_phdr,capability_of,so:libengine.so,libengine,libengine.so,proven,enumerates loaded ELF images (unwinding / self-inspection),
so:libengine.so#import:dladdr,libengine,dladdr,capability_of,so:libengine.so,libengine,libengine.so,proven,address -> symbol/library resolution at runtime,
so:libengine.so#import:dlsym,libengine,dlsym,capability_of,so:libengine.so,libengine,libengine.so,proven,dynamic symbol lookup (late binding without a PLT import),
so:libengine.so#import:getaddrinfo,libengine,getaddrinfo,capability_of,so:libengine.so,libengine,libengine.so,proven,DNS resolution,
so:libengine.so#import:getauxval,libengine,getauxval,capability_of,so:libengine.so,libengine,libengine.so,proven,reads the auxiliary vector (AT_HWCAP feature detection),
so:libengine.so#import:ioctl,libengine,ioctl,capability_of,so:libengine.so,libengine,libengine.so,proven,device/control ioctls,
so:libengine.so#import:mmap,libengine,mmap,capability_of,so:libengine.so,libengine,libengine.so,proven,maps memory at runtime,
so:libengine.so#import:mprotect,libengine,mprotect,capability_of,so:libengine.so,libengine,libengine.so,proven,changes page protection at runtime,
so:libengine.so#import:prctl,libengine,prctl,capability_of,so:libengine.so,libengine,libengine.so,proven,process control (dumpability / tracer behaviour / thread name),
so:libengine.so#import:process_vm_readv,libengine,process_vm_readv,capability_of,so:libengine.so,libengine,libengine.so,proven,cross-process memory read (crash dump / inspection),
so:libengine.so#import:pthread_create,libengine,pthread_create,capability_of,so:libengine.so,libengine,libengine.so,proven,spawns threads,
so:libapp.so#snapshot-version:80a49c7111088100a233b2ae788e1f48,libapp,Dart snapshot version 80a49c7111088100a233b2ae788e1f48,snapshot_version_pair,so:libflutter.so,libflutter,libflutter.so,proven,"libapp.so stores 80a49c7111088100a233b2ae788e1f48 at offset 0x214 (features-adjacent, inside _kDartVmSnapshotData); the same 32-byte version appears in libflutter.so at 0x1eafd4",
apk:lib/arm64-v8a/libapp.so,apk,lib/arm64-v8a/libapp.so,provides_dart_snapshot,so:libapp.so#snapshot-version:80a49c7111088100a233b2ae788e1f48,libapp,Dart snapshot version 80a49c7111088100a233b2ae788e1f48,proven,features: product no-code_comments dwarf_stack_traces_mode dedup_instructions no-tsan no-msan arm64 android compressed-pointers,
so:libapp.so#snapshot-version:80a49c7111088100a233b2ae788e1f48,libapp,Dart snapshot version 80a49c7111088100a233b2ae788e1f48,snapshot_version_pair,so:libflutter.so,libflutter,libflutter.so,proven,"libapp.so stores 80a49c7111088100a233b2ae788e1f48 at offset 0x40d4 (features-adjacent, inside _kDartIsolateSnapshotData); the same 32-byte version appears in libflutter.so at 0x1eafd4",
apk:lib/arm64-v8a/libapp.so,apk,lib/arm64-v8a/libapp.so,provides_dart_snapshot,so:libapp.so#snapshot-version:80a49c7111088100a233b2ae788e1f48,libapp,Dart snapshot version 80a49c7111088100a233b2ae788e1f48,proven,features: product no-code_comments dwarf_stack_traces_mode dedup_instructions no-tsan no-msan arm64 android compressed-pointers,
so:libapp.so#_kDartVmSnapshotInstructions,libapp,libapp.so:_kDartVmSnapshotInstructions,dart_entry_point_of,so:libapp.so,libapp,libapp.so,proven,AOT code entry at 0x160000,
so:libapp.so#_kDartIsolateSnapshotInstructions,libapp,libapp.so:_kDartIsolateSnapshotInstructions,dart_entry_point_of,so:libapp.so,libapp,libapp.so,proven,AOT code entry at 0x176b40,
apk:classes.dex,apk,classes.dex,hosts_flutter_engine_bindings,so:libflutter.so,libflutter,libflutter.so,proven,"41 ACC_NATIVE declarations in ['Lio/flutter/embedding/engine/FlutterJNI;']; libflutter.so exports 0 Java_* symbols and JNI_OnLoad, so the engine also binds its natives dynamically",
apk:assets/flutter_assets/assets/discord.svg,apk,assets/flutter_assets/assets/discord.svg,ui_affordance_for_host,so:libapp.so,libapp,libapp.so,probable,asset `discord.svg` (sha256 263a0bb777a4c45b…) pairs with host `discord.com` referenced 1x in the Dart snapshot,
apk:assets/flutter_assets/assets/facebook.svg,apk,assets/flutter_assets/assets/facebook.svg,ui_affordance_for_host,so:libapp.so,libapp,libapp.so,probable,asset `facebook.svg` (sha256 191f40615c1209a5…) pairs with host `www.facebook.com` referenced 1x in the Dart snapshot,
apk:assets/flutter_assets/assets/telegram.svg,apk,assets/flutter_assets/assets/telegram.svg,ui_affordance_for_host,so:libapp.so,libapp,libapp.so,probable,asset `telegram.svg` (sha256 e0bab5cbfaa0092d…) pairs with host `t.me` referenced 1x in the Dart snapshot,
apk:assets/flutter_assets/assets/whatsapp.svg,apk,assets/flutter_assets/assets/whatsapp.svg,ui_affordance_for_host,so:libapp.so,libapp,libapp.so,probable,asset `whatsapp.svg` (sha256 3b02d33bafb251ac…) pairs with host `wa.me` referenced 1x in the Dart snapshot,
dart:https://rest.snakeseller.com/api/request/,libapp,https://rest.snakeseller.com/api/request/,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x43fe5 (va -0x1), category c2_endpoint",
dart:https://rest.snakeseller.com/api/request/,libapp,https://rest.snakeseller.com/api/request/,command_and_control_candidate,apk:SNAKE.apk,apk,apks/SNAKE.apk,strong,hard-coded request endpoint compiled into the Dart AOT snapshot (package com.snake v2.2.6),
dart:https://www.snakeengine.com/topup/,libapp,https://www.snakeengine.com/topup/,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x3d50e (va -0x1), category c2_endpoint",
dart:https://www.snakeengine.com/topup/,libapp,https://www.snakeengine.com/topup/,command_and_control_candidate,apk:SNAKE.apk,apk,apks/SNAKE.apk,strong,hard-coded request endpoint compiled into the Dart AOT snapshot (package com.snake v2.2.6),
dart:https://discord.com/invite/,libapp,https://discord.com/invite/,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x4e123 (va -0x1), category social_link",
dart:https://t.me/,libapp,https://t.me/,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x402c9 (va -0x1), category social_link",
dart:https://wa.me/,libapp,https://wa.me/,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x3376c (va -0x1), category social_link",
dart:https://www.facebook.com/,libapp,https://www.facebook.com/,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x1f56d (va -0x1), category social_link",
dart:https://apkpure.com/search?q=,libapp,https://apkpure.com/search?q=,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x39902 (va -0x1), category store_link",
dart:https://play.google.com/store/apps/details?id=,libapp,https://play.google.com/store/apps/details?id=,embedded_in,so:libapp.so,libapp,libapp.so,proven,"ASCII string at libapp.so+0x4ba7b (va -0x1), category store_link",
dart:com.snake,libapp,com.snake referenced by the Dart snapshot,embedded_in,so:libapp.so,libapp,libapp.so,proven,exact byte sequence found at libapp.so+0x3bd3a,
dart:com.snake,libapp,com.snake referenced by the Dart snapshot,names_the_application,apk:AndroidManifest.xml,apk,AndroidManifest.xml,strong,the Dart snapshot hard-codes the manifest package `com.snake` (libapp.so+0x3bd3a),
"dart:You are not connected to the internet, Snake Engine needs an",libapp,"You are not connected to the internet, Snake Engine needs an active internet connection",embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x2bfe4,
"dart:Hindi ka konektado sa internet, kailangan ng Snake Engine ng",libapp,"Hindi ka konektado sa internet, kailangan ng Snake Engine ng aktibong koneksyon sa internet",embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x3387f,
dart:Snake Engine,libapp,Snake Engine,embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x3ae49,
dart:com.snake,libapp,com.snake referenced by the Dart snapshot,embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x3bd3a,
dart:https://www.snakeengine.com/topup/,libapp,https://www.snakeengine.com/topup/,embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x3d50e,
dart:helperError,libapp,helperError,embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x4343a,
dart:https://rest.snakeseller.com/api/request/,libapp,https://rest.snakeseller.com/api/request/,embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x43fe5,
"dart:s conectado a Internet, Snake Engine necesita una conexi",libapp,"s conectado a Internet, Snake Engine necesita una conexi",embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x444f5,
"dart:Anda tidak disambungkan ke internet, Snake Engine memerlukan",libapp,"Anda tidak disambungkan ke internet, Snake Engine memerlukan sambungan internet yang aktif",embedded_in,so:libapp.so,libapp,libapp.so,proven,ASCII string at libapp.so+0x49900,
so:libapp.so,libapp,libapp.so,engine_api_names_present_in_engine,so:libflutter.so,libflutter,libflutter.so,strong,"all 11 PlatformConfigurationNativeApi::* names referenced by the snapshot also occur in the engine, e.g. PlatformConfigurationNativeApi::DefaultRouteName (libapp@0x35285, libflutter@0x1ce1f9); PlatformConfigurationNativeApi::EndWarmUpFrame (libapp@0x1bbb9, libflutter@0x1cdd4c); PlatformConfigurationNativeApi::GetRootIsolateToken (libapp@0x3bc6d, libflutter@0x1c5150)",no referenced API is missing
so:libengine.so#.mytext,libengine,libengine.so:.mytext,signature_shape_matches,dex:Lcom/snake/helper/Native;->update(Ljava/lang/Object;Ljava/lang/reflect/Method;)V,dex,Lcom/snake/helper/Native;->update(Ljava/lang/Object;Ljava/lang/reflect/Method;)V,probable,"the .mytext stub at 0x81eeb4 loads JNIEnv slot +0x38 (FromReflectedMethod) and `blr`s it at 0x81eed4 with x1 = the incoming x3, i.e. it converts the native's 2nd declared Java parameter into a jmethodID; it also forwards another parameter to #0xb01c4. Lcom/snake/helper/Native;->update(Ljava/lang/Object;Ljava/lang/reflect/Method;)V is the only one of the 13 declared natives whose parameters are Ljava/lang/Object;Ljava/lang/reflect/Method;","shape match only: the JNINativeMethod tables are decrypted at run time, so binding this address to a name needs the Frida hook in LINKAGE.md (frida_dump_register_natives.js)"
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),analysed,so:libengine.so,libengine,libengine.so,proven,"output/libengine_jni/ + output/libengine.so.log (355,578 bytes of log, 4,751 ERROR lines)",
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),agrees_on_JNI_OnLoad_address,so:libengine.so#JNI_OnLoad,libengine,libengine.so:JNI_OnLoad,proven,"Ghidra reports 0x1f3fa0; our .dynsym reports 0xf3fa0; the 0x100000 difference is Ghidra's image base and was MEASURED from 46 anchors that all agree (JNI_OnLoad, the .init_array address and all 44 slots)",
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),corroborates_init_array_targets,so:libengine.so#.init_array,libengine,libengine.so:.init_array,proven,"44/44 of Ghidra's init_array targets equal the 44 R_AARCH64_RELATIVE addends we derived from .rela.dyn, after subtracting the measured 0x100000 image base - two unrelated methods (Ghidra's loader vs our relocation walk) producing one list",
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),corroborates_section_table,so:libengine.so,libengine,libengine.so,proven,"the readelf dump shipped in the artifact agrees with our pyelftools parse on 26/26 shared sections (address and size); 0 section(s) appear in only one of the two. .mytext is at 0x81eeac in both, which is what proves the 0x100000 shift belongs to Ghidra's image base, not to the file",
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),corroborates_symbol_table,so:libengine.so,libengine,libengine.so,proven,readelf: 154 .dynsym entries = 136 UNDEF + 17 DEFINED + 1 null; ours: 136 UNDEF + 17 DEFINED,
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),corroborates_no_registration_in_JNI_OnLoad,so:libengine.so#JNI_OnLoad,libengine,libengine.so:JNI_OnLoad,proven,"in 12,280 bytes of decompiled C there are 0 loads through the JNIEnv slots we care about ({'0x6b8': 0, '0x30': 0, '0x38': 0}) and 5 callees (rand, FUN_0091ad58, __stack_chk_fail, strlen, sysconf), none of them a JNI helper - the decompiler reaches the same conclusion as our byte-level scan of the registration windows",
tool:ghidra,tool,Ghidra 12.1.2 headless + ExtractJNI.java (evidence_ghidra.zip),corroborates_rwx_allocation,so:libengine.so#JNI_OnLoad,libengine,libengine.so:JNI_OnLoad,proven,"10 mmap() calls, prot values [7] (7 = RWX), flags ['0x22'] (MAP_PRIVATE|MAP_ANONYMOUS), and 10 stores of a synthesised AArch64 branch opcode (0x14000000 | imm26) - the runtime code-patching that our disassembly of the same function shows at 0x000f3fa4 / 0x000f3fb0",
