spine_seq,tier,tier_name,kind,src,dst,conf,via,collapsed,evidence,source,ref_checks,note_th,note_en
11,T0,framework,framework_dispatch,android.app.LoadedApk.makeApplicationInner (line:1),android.app.LoadedApk.makeApplicationInner (line:190),shape,,0,"captured KOS/Kaori module-host stack, frame 9 -> frame 8",fragments/F9_kos_boot_stack.txt,PASS F9 frame 9 -> android.app.LoadedApk.makeApplicationInner | PASS F9 frame 8 -> android.app.LoadedApk.makeApplicationInner,เฟรม 9 -> 8 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
12,T0,framework,framework_dispatch,android.app.LoadedApk.makeApplicationInner (line:190),android.app.Instrumentation.newApplication (line:15),shape,,0,"captured KOS/Kaori module-host stack, frame 8 -> frame 7",fragments/F9_kos_boot_stack.txt,PASS F9 frame 8 -> android.app.LoadedApk.makeApplicationInner | PASS F9 frame 7 -> android.app.Instrumentation.newApplication,เฟรม 8 -> 7 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
13,T0,framework,framework_dispatch,android.app.Instrumentation.newApplication (line:15),com.android.internal.util.kaorios.KaoriPropsUtils.KaoriProps (line:1175),shape,,0,"captured KOS/Kaori module-host stack, frame 7 -> frame 6",fragments/F9_kos_boot_stack.txt,PASS F9 frame 7 -> android.app.Instrumentation.newApplication | PASS F9 frame 6 -> com.android.internal.util.kaorios.KaoriPropsUtils.KaoriProps,เฟรม 7 -> 6 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
14,T0,framework,framework_dispatch,com.android.internal.util.kaorios.KaoriPropsUtils.KaoriProps (line:1175),com.android.internal.util.kaorios.Krtr48kA09tmO323tj8Rgf62eI.Ku5O3sihzbUhwSewE8uI (line:146),shape,,0,"captured KOS/Kaori module-host stack, frame 6 -> frame 5",fragments/F9_kos_boot_stack.txt,PASS F9 frame 6 -> com.android.internal.util.kaorios.KaoriPropsUtils.KaoriProps | PASS F9 frame 5 -> com.android.internal.util.kaorios.Krtr48kA09tmO323tj8Rgf62eI.Ku5O3sihzbUhwSewE8uI,เฟรม 6 -> 5 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
15,T0,framework,framework_dispatch,com.android.internal.util.kaorios.Krtr48kA09tmO323tj8Rgf62eI.Ku5O3sihzbUhwSewE8uI (line:146),Vector_.constructor (line:11),shape,,0,"captured KOS/Kaori module-host stack, frame 5 -> frame 4",fragments/F9_kos_boot_stack.txt,PASS F9 frame 5 -> com.android.internal.util.kaorios.Krtr48kA09tmO323tj8Rgf62eI.Ku5O3sihzbUhwSewE8uI | PASS F9 frame 4 -> Vector_.constructor,เฟรม 5 -> 4 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
16,T0,framework,framework_dispatch,Vector_.constructor (line:11),c3.callback (line:106),shape,,0,"captured KOS/Kaori module-host stack, frame 4 -> frame 3",fragments/F9_kos_boot_stack.txt,PASS F9 frame 4 -> Vector_.constructor | PASS F9 frame 3 -> c3.callback,เฟรม 4 -> 3 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
17,T0,framework,framework_dispatch,c3.callback (line:106),e2.proceed (line:11),shape,,0,"captured KOS/Kaori module-host stack, frame 3 -> frame 2",fragments/F9_kos_boot_stack.txt,PASS F9 frame 3 -> c3.callback | PASS F9 frame 2 -> e2.proceed,เฟรม 3 -> 2 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
18,T0,framework,framework_dispatch,e2.proceed (line:11),e2.b (line:58),shape,,0,"captured KOS/Kaori module-host stack, frame 2 -> frame 1",fragments/F9_kos_boot_stack.txt,PASS F9 frame 2 -> e2.proceed | PASS F9 frame 1 -> e2.b,เฟรม 2 -> 1 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
19,T1,dex,constructs_application,android.app.Instrumentation.newApplication (line:15),com.snake.App (manifest <application>),proven,,0,F3 manifest declares android:name=com.snake.App; F9 frame 7 is the framework call that constructs it (the stitch point between the shape tier and SNAKE bytes),fragments/F3_manifest.txt,PASS fragments/F3_manifest.txt /^application\s*:\s*com\.snake\.App/ -> application    : com.snake.App | PASS F9 frame 7 -> android.app.Instrumentation.newApplication,จุดต่อระหว่างโครงรูปเฟรมเวิร์กกับไบต์จริงของ SNAKE: manifest ประกาศ android:name=com.snake.App และ Instrumentation.newApplication คือผู้ที่สร้างมัน,stitch point: the manifest names com.snake.App and newApplication is what constructs it
20,T1,dex,manifest_role,com.Entry (main activity),com.snake.App.<clinit>()V / onCreate,proven,,0,"F3: main activity = com.Entry, application = com.snake.App, 51 components declared",fragments/F3_manifest.txt,PASS fragments/F3_manifest.txt /^main activity\s*:\s*com\.Entry/ -> main activity  : com.Entry,"บทบาทจาก manifest: activity หลักคือ com.Entry, Application คือ com.snake.App, มีคอมโพเนนต์ 51 ตัว","manifest roles: main activity com.Entry, application com.snake.App, 51 components"
21,T1,dex,invokes_loader,Lcom/snake/App;-><clinit>()V,"java.lang.System.loadLibrary(""engine"")",proven,CH-01 hop 1 (E0001),0,"fill-array-data instruction at file 0x2b6c22 points to the payload at 0x2b6c38 (ident=0x0300, element_width=1, size=6); the 6 bytes at 0x2b6c40 are 656e67696e65 = 'engine'",fragments/F2_dex_natives.txt + fragments.json:dex.loader_call_sites,PASS edge CH-01 hop 1,,
22,T1,dex,invokes_loader,Lcom/snake/App;-><clinit>()V,"string literal ""engine"" built at run time",proven,CH-01 hop 2 (E0003),0,"fill-array-data instruction at file 0x2b6c22 points to the payload at 0x2b6c38 (ident=0x0300, element_width=1, size=6); the 6 bytes at 0x2b6c40 are 656e67696e65 = 'engine'",fragments.json:dex.loader_call_sites,PASS edge CH-01 hop 2,,
23,T1,dex,loads_library,"System.loadLibrary(""engine"")",lib/arm64-v8a/libengine.so,proven,CH-01 hop 3 (E0002),0,"APK member lib/arm64-v8a/libengine.so == repo copy binaries/libengine.so (sha256 f5d751e6bde8f059..., 8,544,568 bytes, match=True)",fragments/F1_apk_inventory.txt,PASS edge CH-01 hop 3,,
24,T1,dex,loader_init_call,.init_array[0],"_INIT_0 (.text, prologue e80f19fcfd7b01a9...)",proven,CH-01 hop 4 (E0040),0,"slot 0x825c78 -> 0x11ab10 in .text, value_from=reloc",fragments.json:libengine.init_array,PASS edge CH-01 hop 4,,
25,T1,dex,calls_entry_point,linker (dlopen of libengine.so),JNI_OnLoad,proven,CH-01 hop 5 (E0084),0,"F4: exports 17 defined dynamic symbols, 0 of them Java_*; JNI_OnLoad @0xf3fa0. Ghidra independently places it at 0x1f3fa0 = 0xf3fa0 + 0x100000",fragments/F4_libengine_jni.txt,PASS edge CH-01 hop 5,,
26,T1,dex,collapsed_range,.init_array[0],"_INIT_43 (.text, prologue 3f2303d5ffc301d1...)",proven,CH-02 hops 1-44,44,"CH-02: 44 proven hops, dynamic loader -> 44 staged constructors .. L2 -> L3 (imported verbatim in CALL_LINKAGE.md)",call_linkage.json,PASS chain CH-02 has 44 hops (expected 44),ตัวโหลด ELF ไล่ .init_array ทั้ง 44 สล็อต — ย่อเป็นฮอปเดียว (รายละเอียดครบใน CALL_LINKAGE.md CH-02),the ELF loader walks all 44 .init_array slots — collapsed to one hop (full detail in CALL_LINKAGE.md CH-02)
27,T2,native,calls_plt,JNI_OnLoad,sysconf,strong,CH-03 hop 1 (E0086),0,`0xf3fd8: bl        #0x81f110`; arguments staged before the call: -,fragments/F4c_libengine_JNI_OnLoad.asm:16,PASS edge CH-03 hop 1,,
28,T2,native,calls_syscall,JNI_OnLoad,mmap,proven,CH-03 hop 2 (E0087),0,"`0xf4018: svc       #0` with w8 = #0xde = 222 = mmap; arguments visible in this window: prot=0x7 (R|W|X), flags=0x22 (MAP_PRIVATE|MAP_ANONYMOUS), fd=0xffffffffffffffff",fragments/F4c_libengine_JNI_OnLoad.asm:32,PASS edge CH-03 hop 2,,
29,T2,native,computes_branch,JNI_OnLoad,"dispatch table at 0x125d4 (adrp 0x12000 + 0x5d4), 4 relative offsets",strong,CH-03 hop 3 (E0088),0,"0xf4048 `adr x10, #0xf4048`; 0xf404c `ldrsw x11, [x26, x9, lsl #2]`; 0xf4050 `add x10, x10, x11`; 0xf4054 `br x10` - the four table words at 0x125d4..0x125e0 are file bytes this bundle does not contain, so the four targets stay open (recipe: read 4 little-endian int32 at libengine.so+0x125d4)",fragments/F4c_libengine_JNI_OnLoad.asm:47,PASS edge CH-03 hop 3,,
30,T2,native,calls_plt,JNI_OnLoad,rand,strong,CH-03 hop 4 (E0089),0,`0xf406c: bl        #0x81f120`; arguments staged before the call: -,fragments/F4c_libengine_JNI_OnLoad.asm:53,PASS edge CH-03 hop 4,,
31,T2,native,writes_generated_code,JNI_OnLoad,"RWX page from the mmap at 0xf4018 (x21 = page, x27 = word index)",proven,CH-03 hop 5 (E0090),0,"0xf4040 `mov w28, #0x14000000`; 0xf4044 `mov w19, #0x3ffffff`; 0xf4070 `and w8, w0, w19`; 0xf4074 `orr w8, w8, w28`; 0xf4078 `str w8, [x21, x27, lsl #2]` - a `B <imm26>` is written word by word into the page mmap returned",fragments/F4c_libengine_JNI_OnLoad.asm:56,PASS edge CH-03 hop 5,,
32,T2,native,writes_generated_code,JNI_OnLoad,previous RWX page (x8 = pages[n-1]); the branch is aimed at x21 = pages[n],proven,CH-03 hop 6 (E0091),0,"0xf4090 `mov w10, #0x14000000`; 0xf4094 `ldr x8, [x25, w8, uxtw #3]` (previous page); 0xf4098 `sub w9, w21, w8`; 0xf409c `bfxil w10, w9, #2, #0x1a`; 0xf40a0 `str w10, [x8]` - page n-1 is patched with `B (page_n - page_{n-1}) >> 2`, chaining the pages",fragments/F4c_libengine_JNI_OnLoad.asm:66,PASS edge CH-03 hop 6,,
33,T2,native,calls_plt,JNI_OnLoad,FUN_0091ad58,strong,CH-03 hop 7 (E0092),0,`0xf40ac: bl        #0x81ad58`; arguments staged before the call: -,fragments/F4c_libengine_JNI_OnLoad.asm:69,PASS edge CH-03 hop 7,,
34,T2,native,jumps_into_generated,JNI_OnLoad,generated code in the first RWX page (the mmap result stored at sp+0x10),proven,CH-03 hop 8 (E0093),0,"0xf3ff4 `add x25, sp, #0x10`; 0xf4018 `svc #0` (mmap, prot=RWX); 0xf4020 `str x0, [x25, x22, lsl #3]`; 0xf40c4 `ldr x8, [sp, #0x10]`; 0xf40e0 `blr x8` - control leaves the static image",fragments/F4c_libengine_JNI_OnLoad.asm:82,PASS edge CH-03 hop 8,,
35,T2,native,calls_syscall,JNI_OnLoad,mmap,proven,CH-03 hop 9 (E0095),0,"`0xf411c: svc       #0` with w8 = #0xde = 222 = mmap; arguments visible in this window: prot=0x7 (R|W|X), flags=0x22 (MAP_PRIVATE|MAP_ANONYMOUS), fd=0xffffffffffffffff",fragments/F4c_libengine_JNI_OnLoad.asm:97,PASS edge CH-03 hop 9,,
36,T2,native,jumps_into_generated,JNI_OnLoad,generated table in the second RWX page (x8 = mmap result of 0xf411c),proven,CH-03 hop 10 (E0096),0,"0xf411c `svc #0` (mmap, prot=RWX); 0xf4120 `mov x8, x0`; 0xf4190 `ldr x9, [x9, #0x48]` / 0xf41a0 `ldr x10, [x10, #0x50]` (.bss shift counts); 0xf41f8 `str x9, [x8, #0x550]` ... 0xf43c8 `str x9, [x8, #0x5e8]`; 0xf43f0 `mov x6, x8`; 0xf43f4 `blr x8`; 0xf43f8 `cbz x0, #0xf4430`",fragments/F4c_libengine_JNI_OnLoad.asm:279,PASS edge CH-03 hop 10,,
37,T2,native,calls_syscall,JNI_OnLoad,fchmodat,proven,CH-03 hop 11 (E0097),0,"0xf4418 `str x26, [sp, #0x10]`; 0xf441c `ldr x8, [sp, #0x10]`; 0xf4420 `ldr x0, [x8]`; 0xf4424 `mov x8, #0x35`; 0xf4428 `svc #0` - the syscall number is proven (53 = fchmodat) but only x0 is staged, and it is a word read back out of the generated page, so the arguments are NOT recoverable from the image",fragments/F4c_libengine_JNI_OnLoad.asm:292,PASS edge CH-03 hop 11,,
38,T2,native,calls_plt,JNI_OnLoad,strlen,strong,CH-03 hop 12 (E0099),0,`0xf446c: bl        #0x81f0e0`; arguments staged before the call: -,fragments/F4c_libengine_JNI_OnLoad.asm:309,PASS edge CH-03 hop 12,,
39,T2,native,calls_plt,registration site 0xf3a08 (nMethods=10),FUN_0091ad58,strong,CH-04 hop 1 (E0122),0,`0xf3944: bl        #0x81ad58`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:8,PASS edge CH-04 hop 1,,
40,T2,native,calls_syscall_stub,registration site 0xf3a08 (nMethods=10),syscall 222 (mmap) via function pointer in x19,strong,CH-04 hop 2 (E0123),0,"`0xf3968: blr       x19` with `mov w6, #0xde` = 222 = mmap staged before it; arguments visible in this window: length=0x18, prot=0x7 (R|W|X), flags=0x22 (MAP_PRIVATE|MAP_ANONYMOUS), fd=0xffffffffffffffff",fragments/F4d_libengine_regnatives_windows.asm:17,PASS edge CH-04 hop 2,,
41,T2,native,calls_direct,registration site 0xf3a08 (nMethods=10),sub_7778a8,probable,CH-04 hop 3 (E0124),0,`0xf3988: bl        #0x7778a8`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:25,PASS edge CH-04 hop 3,,
42,T2,native,calls_direct,registration site 0xf3a08 (nMethods=10),sub_81f140,probable,CH-04 hop 4 (E0125),0,`0xf3994: bl        #0x81f140`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:28,PASS edge CH-04 hop 4,,
43,T2,native,calls_vtable0,registration site 0xf3a08 (nMethods=10),*x21 (first word of the object returned earlier),probable,CH-04 hop 5 (E0126),0,"`0xf39c4: blr       x8` after `ldr x8, [x21]`; arguments staged: -",fragments/F4d_libengine_regnatives_windows.asm:40,PASS edge CH-04 hop 5,,
44,T2,native,finds_class,registration site 0xf3a08 (nMethods=10),JNIEnv->FindClass (slot 6),proven,CH-04 hop 6 (E0127),0,"0xf39d8 `ldr x8, [x24]`; 0xf39dc `mov x0, x24`; 0xf39e0 `mov x1, x20`; 0xf39e4 `ldr x8, [x8, #0x30]`; 0xf39e8 `blr x8` - FindClass(env, x20) where x20 is the buffer the 23-iteration decode loop at 0xf39b8-0xf39d4 just filled, so the class name is 23 characters: 'com/snake/helper/Native'",fragments/F4d_libengine_regnatives_windows.asm:49,PASS edge CH-04 hop 6,,
45,T2,native,registers_natives,registration site 0xf3a08 (nMethods=10),JNIEnv->RegisterNatives (slot 215),proven,CH-04 hop 7 (E0128),0,"`0xf3a0c: blr       x8` reached through `blr` of the value loaded by `ldr x8, [x8, #0x6b8]`; the table pointer itself came from `ldr x8, [x21]`",fragments/F4d_libengine_regnatives_windows.asm:58,PASS edge CH-04 hop 7,,
46,T2,native,calls_syscall,registration site 0xb40a8 (nMethods=2),fchmodat,proven,CH-05 hop 1 (E0112),0,"0xb3fd4 `stur x8, [x29, #-0x40]`; 0xb3fd8 `ldur x8, [x29, #-0x40]`; 0xb3fdc `ldr x0, [x8]`; 0xb3fe0 `mov x8, #0x35`; 0xb3fe4 `svc #0` - syscall 53 (fchmodat) with only x0 staged, the value having been round-tripped through the stack from an obfuscated immediate (0xb3fc8-0xb3fd0 build 0x33804ef2)",fragments/F4d_libengine_regnatives_windows.asm:8,PASS edge CH-05 hop 1,,
47,T2,native,calls_plt,registration site 0xb40a8 (nMethods=2),FUN_0091ad58,strong,CH-05 hop 2 (E0113),0,`0xb4018: bl        #0x81ad58`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:21,PASS edge CH-05 hop 2,,
48,T2,native,calls_syscall_stub,registration site 0xb40a8 (nMethods=2),syscall 222 (mmap) via function pointer in x19,strong,CH-05 hop 3 (E0114),0,"`0xb403c: blr       x19` with `mov w6, #0xde` = 222 = mmap staged before it; arguments visible in this window: length=0x4, prot=0x7 (R|W|X), flags=0x22 (MAP_PRIVATE|MAP_ANONYMOUS), fd=0xffffffffffffffff",fragments/F4d_libengine_regnatives_windows.asm:30,PASS edge CH-05 hop 3,,
49,T2,native,calls_direct,registration site 0xb40a8 (nMethods=2),sub_777fb0,probable,CH-05 hop 4 (E0115),0,`0xb4050: bl        #0x777fb0`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:35,PASS edge CH-05 hop 4,,
50,T2,native,calls_direct,registration site 0xb40a8 (nMethods=2),sub_81f140,probable,CH-05 hop 5 (E0116),0,`0xb405c: bl        #0x81f140`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:38,PASS edge CH-05 hop 5,,
51,T2,native,calls_vtable0,registration site 0xb40a8 (nMethods=2),*x22 (first word of the object returned earlier),probable,CH-05 hop 6 (E0117),0,"`0xb407c: blr       x8` after `ldr x8, [x22]`; arguments staged: -",fragments/F4d_libengine_regnatives_windows.asm:46,PASS edge CH-05 hop 6,,
52,T2,native,stages_fnptr,registration site 0xb40a8,.mytext 0x81eeb0 (exec=True) - the only fnPtr of the 13 that survives static analysis,proven,CH-05 hop 7 (E0120),0,"0xb409c: x2, sp, #0x20 — the JNINativeMethod[] is assembled on the stack, so name/sig/fnPtr are runtime values; the stores into that frame below are what can still be recovered statically; the value written is 0x81eeb0, which lies inside .mytext (0x81eeac + 244 bytes, exec=True, write=False)",fragments.json:libengine.register_natives_sites,PASS edge CH-05 hop 7,,
53,T2,native,registers_natives,registration site 0xb40a8 (nMethods=2),JNIEnv->RegisterNatives (slot 215),proven,CH-05 hop 8 (E0118),0,"`0xb40b4: blr       x8` reached through `blr` of the value loaded by `ldr x8, [x8, #0x6b8]`; the table pointer itself came from `ldr x8, [x22]`",fragments/F4d_libengine_regnatives_windows.asm:60,PASS edge CH-05 hop 8,,
54,T2,native,calls_syscall_stub,registration site 0xb0140 (nMethods=1),syscall 222 (mmap) via function pointer in x20,strong,CH-07 hop 1 (E0104),0,"`0xb0068: blr       x20` with `mov w6, #0xde` = 222 = mmap staged before it; arguments visible in this window: none staged inside this window",fragments/F4d_libengine_regnatives_windows.asm:3,PASS edge CH-07 hop 1,,
55,T2,native,calls_direct,registration site 0xb0140 (nMethods=1),sub_7775d8,probable,CH-07 hop 2 (E0105),0,`0xb0088: bl        #0x7775d8`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:11,PASS edge CH-07 hop 2,,
56,T2,native,calls_direct,registration site 0xb0140 (nMethods=1),sub_81f140,probable,CH-07 hop 3 (E0106),0,`0xb0094: bl        #0x81f140`; arguments staged before the call: -,fragments/F4d_libengine_regnatives_windows.asm:14,PASS edge CH-07 hop 3,,
57,T2,native,calls_vtable0,registration site 0xb0140 (nMethods=1),*x25 (first word of the object returned earlier),probable,CH-07 hop 4 (E0107),0,"`0xb00c4: blr       x8` after `ldr x8, [x25]`; arguments staged: -",fragments/F4d_libengine_regnatives_windows.asm:26,PASS edge CH-07 hop 4,,
58,T2,native,calls_direct,registration site 0xb0140 (nMethods=1),sub_81f250,probable,CH-07 hop 5 (E0108),0,"0xb00d8 `ldr x0, [sp, #0x30]`; 0xb00dc `mov x1, x24`; 0xb00e0 `mov w2, #8`; 0xb00e4 `bl #0x81f250`; 0xb00e8 `cbnz w0, #0xb0120` - a (ptr, ptr, 8) -> int call whose result is tested, i.e. memcmp-shaped: the 8 decoded bytes are compared before the registration proceeds",fragments/F4d_libengine_regnatives_windows.asm:34,PASS edge CH-07 hop 5,,
59,T2,native,registers_natives,registration site 0xb0140 (nMethods=1),JNIEnv->RegisterNatives (slot 215),proven,CH-07 hop 6 (E0109),0,"`0xb0144: blr       x8` reached through `blr` of the value loaded by `ldr x8, [x8, #0x6b8]`; the table pointer itself came from `ldr x8, [x25]`",fragments/F4d_libengine_regnatives_windows.asm:58,PASS edge CH-07 hop 6,,
60,T2,native,calls_jni_slot,registration site 0xb0140 (nMethods=1),JNIEnv->ExceptionClear (slot 17),proven,CH-07 hop 7 (E0110),0,"0xb0180 `ldr x8, [x19]`; 0xb0184 `ldr x8, [x8, #0x88]`; 0xb0188 `mov x0, x19`; 0xb018c `blr x8` - slot 17 = ExceptionClear(env), reached on the failure path `tbnz w0, #0x1f, #0xb0190` after RegisterNatives returned < 0",fragments/F4d_libengine_regnatives_windows.asm:76,PASS edge CH-07 hop 7,,
61,T2,native,stages_fnptr,registration site 0xb40a8,.mytext 0x81eeb0 (exec=True) - the only fnPtr of the 13 that survives static analysis,proven,CH-06 hop 1 (E0120),0,"0xb409c: x2, sp, #0x20 — the JNINativeMethod[] is assembled on the stack, so name/sig/fnPtr are runtime values; the stores into that frame below are what can still be recovered statically; the value written is 0x81eeb0, which lies inside .mytext (0x81eeac + 244 bytes, exec=True, write=False)",fragments.json:libengine.register_natives_sites,PASS edge CH-06 hop 1,,
62,T2,native,calls_entry_point,ART (a Java caller of Lcom/snake/helper/Native;->update),.mytext fnPtr 0x81eeb0 (decodes as 'ret'; the body starts at 0x81eeb4),strong,CH-06 hop 2 (E0131),0,"F4: site @0xb40a8 entry[1].fnPtr = 0x81eeb0 in .mytext; the instruction at 0x81eeb0 decodes as `ret` and 0x81eeb4 opens a real prologue (`stp x29, x30, [sp, #-0x20]!`), so the pointer as published returns immediately - see the gap list",fragments/F4b_libengine_mytext.asm,PASS edge CH-06 hop 2,,
63,T2,native,calls_jni_slot,.mytext registered handler (0x81eeb4),JNIEnv->FromReflectedMethod (slot 7),proven,CH-06 hop 3 (E0101),0,"`0x81eed4: blr       x8` reached through `blr` of the value loaded by `ldr x8, [x8, #0x38]`; the table pointer itself came from `ldr x8, [x0]`",fragments/F4b_libengine_mytext.asm:18,PASS edge CH-06 hop 3,,
