id,check,severity,kind,title_en,title_th,evidence,impact,fix
C13-vfs-clobber,C13 internal contradictions,P1,design,"ProxyActivity step 1 sets the guest identity (VirtualAppContainer.init(targetPkg)), then step 2 self-attaches with a HARD-CODED 'com.aether' package, which runs virtualFS.setupForApp(dataDir=/data/user/0/com.aether) and re-points the VirtualFS map at the host",ProxyActivity ขั้น 1 ตั้ง identity ของ guest (VirtualAppContainer.init(targetPkg)) แล้วขั้น 2 self-attach ด้วย package ที่ hardcode ว่า 'com.aether' ซึ่งไปเรียก virtualFS.setupForApp(dataDir=/data/user/0/com.aether) ทับ map ของ guest,ProxyActivity.kt:68 (guest init) then :79 (hard-coded self-attach),the ordering undoes the guest's own data-dir mapping inside :pN; anything that reads VirtualFSWrapper after step 2 sees host paths,"pass targetPkg to attachToProcess when isVirtual, or run setupForApp with the guest data dir in virtual-target mode"
C15-diag-nocrash,C15 diagnostics,P1,consistency,"EngineBridge.readDiag's own KDoc promises 'DiagLog trace.log + latest logcat dump + latest crash report', but the implementation reads only diag/trace.log and diag/logcat_* - CrashHandler writes to filesDir/crash_logs/crash_<ts>.log, which the UI never surfaces",KDoc ของ readDiag สัญญาว่าจะคืน 'trace.log + logcat + crash report ล่าสุด' แต่โค้ดอ่านแค่ diag/trace.log กับ diag/logcat_* - ทั้งที่ CrashHandler เขียนไว้ที่ filesDir/crash_logs/crash_<ts>.log ซึ่ง UI ไม่เคยแสดง,"EngineBridge.kt:311 (doc) vs CrashHandler.kt:52 (CRASH_DIR_NAME=""crash_logs"")",the crash that kills :pN is invisible from the Diag button - the operator has to pull the app's data dir by hand to see why the guest died,append the newest crash_logs/crash_*.log to the readDiag output (it is 3 lines)
C15-diag-order,C15 diagnostics,P1,design,"ProxyActivity emits DiagLog lines BEFORE DiagLog.init() runs (first call at line 39, init at line 49); DiagLog.d() with dir==null only writes to logcat, so those lines never reach trace.log","ProxyActivity เรียก DiagLog ก่อน DiagLog.init() (เรียกครั้งแรกบรรทัด 39, init บรรทัด 49) - DiagLog.d() ตอน dir==null จะออกแค่ logcat จึงไม่ลง trace.log",ProxyActivity.kt:39 vs :49 (the dropped line is the p3/intent identity mismatch at :39),"the single most important diagnostic for C14 - 'identity: p3=X overrides intent=Y' - is exactly one of the lines that gets dropped, so trace.log can look clean while the guest identity is wrong",move DiagLog.init(applicationContext) to the first statement of onCreate
C16-unverifiable-placement,C16 evidence attribution,P1,evidence,"the code cites 13 decompiler line numbers (a7:171, a7:317, a7:601, bt0:11, j8:35, j8:52, j8:6, j8:61) as the authority for WHERE each hop belongs, but the committed evidence (Codes/SnakeLogic/fragments/F2) attributes callers only at CLASS level (15 distinct caller methods of com.snake.helper.Native) and never maps a caller to a specific native; the per-hop transcript (NATIVE_CALLSITE_MAP.md) is not committed in either repo","โค้ดอ้างหมายเลขบรรทัดจาก decompiler 13 จุด (a7:171, a7:317, a7:601, bt0:11, j8:35, j8:52, j8:6, j8:61) เป็นหลักฐานว่า hop ไหนต้องวางที่ไหน แต่หลักฐานที่ commit ไว้ (F2) ระบุ caller แค่ระดับ CLASS (15 method) และไม่ map ว่า caller ไหนเรียก native ตัวไหน; transcript (NATIVE_CALLSITE_MAP.md) ไม่ได้ commit ไว้ใน repo ใดเลย","Codes/SnakeLogic/fragments/F2_dex_natives.txt (classes jv0/b8/yu0 ARE present, line numbers are NOT)",the placement gate (scripts/native_chain_parity.py) enforces positions that nobody can re-verify; if a position is wrong the gate actively prevents the correct fix,commit the transcript (or the jadx output for the 5 chain natives) under reference/ and cite fragment line numbers instead of decompiler line numbers
C3-dead-natives,C3 JNI surface,P1,wiring,"15 of 38 registered JNI methods have no Kotlin call site: decryptString, hideXposed, installNetworkHttpProbe, loadEmptyDex, nativeDecryptPayloadByHash, nativeDeriveKey, nativeEntropy, nativeExchangeKeys, nativeProcessTriple, nativeReflectUpdate, nativeValidate, nativeWriteLog, setAccessible, setBinderCallingPidOverride, setBinderCallingUidOverride","JNI 15 จาก 38 ตัวที่ลงทะเบียนไว้ ไม่มีจุดเรียกใน Kotlin: decryptString, hideXposed, installNetworkHttpProbe, loadEmptyDex, nativeDecryptPayloadByHash, nativeDeriveKey, nativeEntropy, nativeExchangeKeys, nativeProcessTriple, nativeReflectUpdate, nativeValidate, nativeWriteLog, setAccessible, setBinderCallingPidOverride, setBinderCallingUidOverride",Engine.kt external funs vs call-site scan of 41 .kt files,"the parity gate (scripts/jni_parity.py) only compares names+descriptors, so it reports PASS while a third of the native surface is unreachable",either call them from the hop that needs them (see C4) or delete the declaration + table entry + C++ definition together
C4-stubs,C4 native implementation,P1,substance,"12 of 39 JNI implementations are empty/log-only/constant-return: addIORule, enableIO, hideXposed, installNetworkHttpProbe, nativeExchangeKeys, nativeInitContext, nativeProcessPair, nativeProcessTriple, nativeReflectUpdate, nativeWriteLog, setAccessible__Ljava_lang_reflect_Field_2, setAccessible__Ljava_lang_reflect_Method_2","JNI 12 จาก 39 ตัวเป็น body ว่าง/แค่ log/คืนค่าคงที่: addIORule, enableIO, hideXposed, installNetworkHttpProbe, nativeExchangeKeys, nativeInitContext, nativeProcessPair, nativeProcessTriple, nativeReflectUpdate, nativeWriteLog, setAccessible__Ljava_lang_reflect_Field_2, setAccessible__Ljava_lang_reflect_Method_2","aether_core.cpp (AETHER_DEBUG=0 -> LOGD compiles to ((void)0), so LOG-ONLY == EMPTY)",Kotlin logs claim success for work the native layer never performs (see C4-false-telemetry),"implement, or return an explicit failure so callers can tell"
C5-orphans,C5 native linkage,P1,wiring,"3 native translation unit(s) are compiled into libaether.so but their header is not in the #include closure of the only JNI entry point (aether_core.cpp), so no code path can reach them and -Wl,--gc-sections drops them from the binary: aether-native/src/main/cpp/layer/bindmount/virtual_fs.cpp (234 lines), aether-native/src/main/cpp/layer/packageconf/manifest_snapshot.cpp (155 lines), aether-native/src/main/cpp/layer/rootspoof/hide_module.cpp (33 lines)","ไฟล์ C++ 3 ไฟล์ถูกคอมไพล์เข้า libaether.so แต่ header ไม่ได้อยู่ใน #include closure ของ JNI entry เดียว (aether_core.cpp) จึงไม่มีทางเรียกถึง และ --gc-sections ทิ้งออกจาก binary: aether-native/src/main/cpp/layer/bindmount/virtual_fs.cpp (234 บรรทัด), aether-native/src/main/cpp/layer/packageconf/manifest_snapshot.cpp (155 บรรทัด), aether-native/src/main/cpp/layer/rootspoof/hide_module.cpp (33 บรรทัด)",aether-native/src/main/cpp/CMakeLists.txt (L1_SOURCES) vs aether_core.cpp includes,"the bind-mount virtual FS, the package.conf manifest snapshot and the root-spoof module exist as finished code but are unreachable - the features they implement (path redirect, manifest snapshot, module hiding) are therefore absent at runtime","include and call them from the JNI entries that exist for exactly this purpose (enableIO/addIORule -> VirtualFS, hideXposed -> RootSpoof)"
C7-parity-gap,C7 manifest,P1,parity,"component families present in the SNAKE reference manifest (F3, 51 components) but absent from AetherEngine after applying the documented rename map: ProxyActivity, ProxyActivity$Pn_L","ตระกูล component ที่มีใน manifest ต้นแบบ SNAKE (F3, 51 ตัว) แต่หายไปใน AetherEngine หลังเทียบผ่าน rename map: ProxyActivity, ProxyActivity$Pn_L",Codes/SnakeLogic/fragments/F3_manifest.txt,$Pn_L are the LANDSCAPE proxy stubs: a virtual-app engine needs one stub per orientation because the guest declares orientation-locked activities - with only $P0..$P3 there is no stub to land an orientation change on; the bare ProxyActivity (non-slotted) is also declared by SNAKE and missing here,"add the $P0_L..$P3_L family (and decide explicitly whether the bare ProxyActivity is needed), or record the drop as a deliberate deviation"
C8-never-closed,C8 lifecycle,P1,wiring,"GuestRuntimeBridge.close() has 0 callers and ProxyActivity does not override onDestroy, although the bridge's own KDoc says close() must be called from ProxyActivity.onDestroy()",GuestRuntimeBridge.close() ไม่มีคนเรียก และ ProxyActivity ไม่ override onDestroy ทั้งที่ KDoc ของ bridge ระบุให้เรียกจาก ProxyActivity.onDestroy(),GuestRuntimeBridge.kt:209 (doc claim) vs ProxyActivity.kt (only onCreate is overridden),"the guest session, the ActivityThread binds and the installed Instrumentation wrapper survive the stub activity; a second Play press reuses stale state (activeRuntime, AetherInstrumentation.installed) instead of rebuilding it","override onDestroy/onNewIntent in ProxyActivity: close the runtime, reset AetherInstrumentation.installed, and clear VirtualAppContainer identity"
C8-stale-hook,C8 lifecycle,P1,design,AetherInstrumentation.install() captures stubComponent/guestClassLoader/guestApp once and then returns early on 'installed' - a second guest (or a re-launch after the guest died) keeps the FIRST guest's class loader,AetherInstrumentation.install() จับ stubComponent/guestClassLoader/guestApp ไว้ครั้งเดียว แล้ว return ทันทีถ้า installed -> guest ตัวที่สอง (หรือ relaunch หลัง guest ตาย) ยังใช้ classloader ของตัวแรก,AetherInstrumentation.kt:60,swap instantiates guest classes through a stale loader -> ClassNotFoundException in :pN -> process death -> bounce,"make install() rebind the wrapper's fields when the identity changes, and reset 'installed' when the runtime is closed"
C13-pkgconf-comment,C13 internal contradictions,P2,consistency,SandboxManager.bootstrapGameData says in a comment that package.conf is no longer fabricated ('generatePackageConf ถูก deprecate') and then calls generatePackageConf() 9 lines later to write it,คอมเมนต์ใน bootstrapGameData บอกว่าไม่ fabricate package.conf แล้ว (generatePackageConf ถูก deprecate) แต่โค้ดถัดไปอีก 9 บรรทัดเรียก generatePackageConf() เพื่อเขียนไฟล์,SandboxManager.kt:392 (comment) vs :401 (call),two committed revisions of the same decision coexist; a reader cannot tell which behaviour is intended (the numbering in that block also skips step 2),delete the stale comment or the stale call
C13-v1-drops-sandbox,C13 internal contradictions,P2,consistency,GuestRuntimeBridge.loadV1 (the AUTO fallback) does not forward sandboxDir - VirtualAppLoader.load has no such parameter,GuestRuntimeBridge.loadV1 (fallback ของโหมด AUTO) ไม่ส่ง sandboxDir ต่อ - VirtualAppLoader.load ไม่มีพารามิเตอร์นี้,GuestRuntimeBridge.kt:332 vs VirtualAppLoader.kt:64,when v2 fails the guest silently runs against the REAL installed app's data dir instead of the sandbox - a different filesystem view depending on which loader won,add sandboxDir to VirtualAppLoader.load (same LoadedApk re-root) or refuse the fallback and report the v2 error
C13-vfs-selftest,C13 internal contradictions,P2,consistency,VirtualAppContainer.testVirtualFSResolve() (exposed to the UI as 'testVirtualFS') resolves paths against the Kotlin-side VirtualFSWrapper map only - it cannot detect that the native redirect layer is an empty stub,testVirtualFSResolve() (ที่ UI เรียกผ่าน 'testVirtualFS') resolve path กับ map ฝั่ง Kotlin เท่านั้น - ตรวจไม่พบว่า native redirect เป็น stub ว่าง,VirtualAppContainer.kt:240,the UI shows a green 'OK: ...' for a virtual FS that has no native effect (C4),have the self-test round-trip through the native layer (add a nativeResolve JNI entry that returns the resolved path) and print both results
C15-firewall-swallows,C15 diagnostics,P2,design,"ProxyActivity installs a process-wide uncaught-exception handler that deliberately does NOT chain to the previous handler while a guest is active, so guest crashes on ANY thread (including main) are swallowed after being logged to trace.log",ProxyActivity ตั้ง uncaught-exception handler ทั้ง process ที่จงใจไม่ส่งต่อให้ handler เดิมขณะ guest ยัง active - crash ของ guest ทุก thread (รวม main) จึงถูกกลืนหลังบันทึก log,ProxyActivity.kt:106 (installGuestThreadFirewall),"combined with C2 (3 silent finish paths) and C15-diag-nocrash, a failed boot leaves no user-visible signal at all - which is why the symptom reads as 'กดแล้วเด้งกลับ'","keep the firewall for known-benign SDK exceptions (SecurityException from guest background threads) but re-throw everything else, and record the decision in trace.log with a counter that readDiag shows"
C5-uncalled,C5 native linkage,P2,wiring,1 TU(s) are included by aether_core.cpp but every call into them is commented out: aether-native/src/main/cpp/core/env_check.cpp (73 lines),1 ไฟล์ถูก include ใน aether_core.cpp แต่ทุกจุดเรียกถูกคอมเมนต์ทิ้ง: aether-native/src/main/cpp/core/env_check.cpp (73 บรรทัด),aether_core.cpp JNI_OnLoad ('[CUT 2026-09-11]' lines),"deliberate cuts, but they are invisible in the gate output - the parity script still counts these natives as present","record each cut in docs/ with the reason and the date, and have the gate print them as CUT rather than PASS"
C1-dead-branches,C1 channel parity,P3,hygiene,"Kotlin handler branches never called from Dart: getEngineStatus, launchGame","branch ฝั่ง Kotlin ที่ Dart ไม่เคยเรียก: getEngineStatus, launchGame","app/android/app/src/main/kotlin/com/aether/EngineBridge.kt:70,68",dead surface; each branch is untested and drifts silently,wire them to a UI control or delete them
C13-hydrate-log,C13 internal contradictions,P3,consistency,AetherApp passes payloadDir (dataDir/root/files) to nativeHydratePayloads but logs filesDir - the diagnostic line points at a directory that was never scanned,AetherApp ส่ง payloadDir (dataDir/root/files) เข้า nativeHydratePayloads แต่ log ว่า filesDir - บรรทัดวินิจฉัยชี้ไปที่ dir ที่ไม่ได้ถูก scan,AetherApp.kt:107,misleading diagnostics during exactly the debugging session that needs them,log payloadDir.absolutePath
